Sale_ID,Farmer_ID,Farm_ID,Market_ID,Crop,Quantity_Sold_kg,Market_Price_Naira,Transport_Cost,Storage_Cost,Loss_Transit_kg,Stored_kg,Capacity_kg,Sale_Date
S0001,F107,FP1096,M701,Cassava,2048.36,230.32,2604.39,6212.49,28.17,1826.78,2018.6,12/03/2024
S0002,F100,FP0872,M664,Maize,1752.69,174.98,4034.76,3246.25,78.19,1614.12,1993.99,29/10/2024
S0003,F192,FP0956,M277,Sorghum,1916.55,248.26,7924.76,5308.07,20.95,1584.18,1752.04,04/11/2024
S0004,F188,FP0976,M783,Sorghum,580.45,282.24,7931.3,2661.34,18.86,410.94,468.38,02/08/2024
S0005,F131,FP0647,M021,Maize,1833.76,140.27,4413.2,2955.24,74.22,1404.9,1710.96,22/03/2024
S0006,F265,FP1370,M565,Rice,1847.56,286.53,3501.85,1832.43,14.36,1680.25,1962.62,22/02/2024
S0007,F264,FP0035,M206,Sorghum,2274.42,350.66,2613.68,2386.42,96.38,1655.38,1852.94,15/05/2024
S0008,F054,FP1130,M772,Yam,1576.63,346.7,5437.28,4322.64,42.27,1485.4,1850.73,10/02/2024
S0009,F053,FP0792,M922,Rice,1295.46,129.17,5192.83,3628.65,40.06,1121.37,1419.52,22/10/2024
S0010,F065,FP0521,M344,Rice,1323.49,166.65,1873.87,1806.55,43.76,1002.79,1117.02,10/02/2024
S0011,F261,FP0231,M041,Yam,2265.29,287.44,3207.33,2832.02,43.05,2166.97,2759.2,21/11/2024
S0012,F293,FP0099,M684,Rice,2534.47,161.33,6669.59,3444.84,45.02,2408.34,2727.52,25/12/2024
S0013,F131,FP1029,M218,Cassava,1281.09,234.69,3440.6,1734.16,39.02,1256.74,1545.3,30/09/2024
S0014,F179,FP0864,M743,Sorghum,1724.73,172.41,10267.06,1462.36,32.72,1584.58,1794.82,22/04/2024
S0015,F231,FP0749,M655,Cassava,1408.98,269.68,3421.48,4115.57,54.67,1275.67,1618.28,17/01/2024
S0016,F086,FP0578,M682,Sorghum,1693.92,210.12,6002.9,4737.28,5.61,1594.85,1882.29,10/06/2024
S0017,F044,FP1364,M798,Yam,1928.56,262.02,4311.84,4126.18,85.31,1473.01,1767.39,14/03/2024
S0018,F190,FP1249,M385,Rice,1636.19,179.69,4215.78,804.73,45.93,1275.35,1465.79,26/10/2024
